,text,target,label
0,"i agree about arafat . i mean , shit , they even gave one to jimmy carter ha . it should be called '' the worst president '' prize .",jimmy carter,negative
1,musicmonday britney spears - lucky do you remember this song ? it ` s awesome . i love it .,britney spears,positive
2,"wtf ? hilary swank is coming to my school today , just to chill . lol wow",hilary swank,neutral
3,my 3-year-old was amazed yesterday to find that ' real ' 10 pin bowling is nothing like it is on the wii ...,wii,neutral
4,God damn . That Sony remote for google is fucking hideeeeeous !,google,negative
5,listening 2 '' 3 '' by ms britney spears cant wait 4 the video on oct . 19 you guys need 2 love her new single also buy her single collection nov . 24 !,britney spears,positive
6,gerard butler is hot ... 1 . his accent 2 . that romantic movie with hilary swank where he was dead 3 . sex scene in the 300,hilary swank,neutral
7,"no one likes pe at school . all pupils should have to do it in the traditional way . wii fit is fun but in schools , madness",wii,neutral
8,izašao je you '' videoteci '' novi harry potter i public enemy : -RRB-,harry potter,negative
9,3 by britney spears is an amazing song,britney spears,positive
10,"people whose reactions I 'd appreciate this morning : bill clinton 's , hillary clinton ' is ... george bush 's -LRB- latter for completely difference reasons -RRB-",hillary clinton,neutral
11,NowPlaying lady gaga - let love down,lady gaga,neutral
12,The obama domestic genocide hug .,obama,negative
13,"Paramore , incubus , justin timberlake , a7x , the strokes , motley crue pilih yg mana yaah bingung cc buckupshow",justin timberlake,positive
14,okay maybe just a little shocked xD omg nicolerichie the madonna fans are outraged at what you did,madonna,neutral
15,he might have got the nobel prize just for not being george bush,george bush,neutral
16,"People i followed today '' Omarion , Natalie Nunn and any PAST BGC cast , Chingy and perez hilton '' what a list of Wackness",perez hilton,negative
17,tomorrow we have art class ! love it ! lsning to britney spears - piece of me,britney spears,positive
18,Waitrose dumps Fox News in protest over -LSB- Glen Beck -RSB- remarks about barack obama,barack obama,neutral
19,"downloaded blacksn0w for my iphone . the jailbroken features are cool , but the bugs and connection problems are n't worth it .",iphone,neutral
20,nicki minaj has brought back the female rapper . - really ? nicki minaj is the biggest parody in popular music since the Lonely Island .,nicki minaj,negative
21,my day off after a wedding consist of wii zelda and chinese food . i feel like i 'm in jr high . this rocks !!,wii,positive
22,7 inch touch screen 2 din in dash car dvd player with television bluetooth gps ipod function dual zone szc1085 : o . .,ipod,neutral
23,"do n't get me wrong , i am a huge obama supporter but it feels forced or like an '' at least you 're not george bush award ''",george bush,neutral
24,FF MarkieAi Likes animals . Hates spiders . Hates charlie sheen . Likes cookies .,charlie sheen,negative
25,ESPN Soccer Net News Ardiles backs maradona for World Cup glory,maradona,positive
26,There 's a firefighter in my class who looks just like anderson cooper but buffer and supposedly straight . notcomplaining,anderson cooper,neutral
27,-LSB- happy birthday git * git ! -RSB- ily ! ... some reason im very tired ! but today was really fun ! :-RRB- ugh my ipod died !,ipod,neutral
28,"`` SkyJacquie : Is everyone happy jt is back as England Captain ? '' NO ! It 's a farce but that 's England . Capello , another expensive FA failure",jt,negative
29,omg !! google wave is amazing !!! olo worms plotting stuff in real time . we could meet up in person . . but we all hate each other .,google wave,positive
30,barack obama and John McCain clash over Afghanistan strategy : barack obama reacted angrily after John McCain a . .,barack obama,neutral
31,do you know how to convert youtube videos to psp compatible ones through linux command ? thank you in advance : -RRB-,psp,neutral
32,`` FrameMaker has detected a serious error and must quit . '' So how long has sarah palin been writing code for Adobe ?,sarah palin,negative
33,hilary swank as amelia earhart is actually pretty great casting .,hilary swank,positive
34,they even have red costumes on like britney spears,britney spears,neutral
35,psp is being a brat with text . can someone add some writing on something for me right quick ? does n't need to be pretty .,psp,neutral
36,ABOVE THE RIM : some mean basketball but misses the layup with hammy acting & a script that 's the equivalent to shaq 's art creation,shaq,negative
37,The dave matthews Band is so damn good . Give me the Chili Peppers and dave matthews Band and I 'm set for a very long while . RHCP DMB,dave matthews,positive
38,press start : the faces of ' ballad of gay tony ' ; wii update woes extract not available .,wii,neutral
39,i love bad romance and fashion and 3 by britney spears i love you both lady gag too girl ! her concerts r better than the record !!,britney spears,neutral
40,Video : serena williams gets x-rated for new tennis game ad ! .,serena williams,negative
41,"I love anderson cooper ; he is so sensible , honorable and reliable as always . ac360",anderson cooper,positive
42,shorty like a melody in my head that i keep singing like la la la everyday like an ipod stuck in replay :-RRB- love that song,ipod,neutral
43,bought one of those rechargable iphone backup battery packs ... no more fear : - -RRB-,iphone,neutral
44,". probably the most insightful , eloquent , and intelligent interview i 've ever seen . russell brand an intellectual ? damn",russell brand,negative
45,~ I am an ' Independent Thinker ' and President R . Reagan was a great president . ... I support sarah palin .,sarah palin,positive
46,"-LSB- gwaveblogs -RSB- ultimate list of google wave gadgets and tools - google wave , google wave extension , google wave gadge ...",google wave,neutral
47,Rumors Swirl About Biden Sleeping During Obama Speech : Vice President joe biden was caught with his eyes closed ... .,joe biden,neutral
48,omg what has the world come to !? they sang britney spears !!!! awful !!!! :,britney spears,negative
49,"good to see britney spears the top of the charts again , she needs a break i think , but i hope she can handle the success this time . .",britney spears,positive
50,best joke of the day : justin bieber is gay : D,justin bieber,neutral
51,"Guy Ritchie has revealed he has struggled to cope with his divorce from madonna , and admits he still loves her .",madonna,neutral
52,"wow , lindsay lohan is looking like garbage . what 's she doing to herself ?",lindsay lohan,negative
53,- this is sad because i actually love lindsay lohan ... what happen ????,lindsay lohan,positive
54,I sure would love to meet the guy who created the first computer . . bill gates brother . . lol,bill gates,neutral
55,you doing police training on 7pm project last night was funny shit . you are a funny bugger . good luck with iphone,iphone,neutral
56,LMAO i know !! i dnt like harry potter he 's so English !! hehehe its raining here too SMDH,harry potter,negative
57,"i love britney spears . yes , i said it .",britney spears,positive
58,"e ainda : oh novo clipe do the all american rejects - '' i wan na '' , bandahori , dionne bromfield , britney spears , beyonce e lady gag",britney spears,neutral
59,"celeb rumors update ! , hilary swank wants a baby -",hilary swank,neutral
60,Fox : High-Profile Conservative Group Files Lawsuit Against obama Administration Over Health Care Waivers .,obama,negative
61,"i love harry potter , but i have to agree with anderson . feminism is not a leading theme in the series ...",harry potter,positive
62,"ahH Harvey why would you ever want to kiss ryan seacrest ass ? i hate ass-kissers , don scoop that low TMZ",ryan seacrest,neutral
63,How could barack obama get that Nobel Price ! His preach about a world without nuclear weapon is just pure rhetoric !,barack obama,neutral
64,i don think any of britney spears ' new music can even be classified as singing ... it 's all computerized !,britney spears,negative
65,really liking the new britney spears and mj songs : -RRB-,britney spears,positive
66,"she deserves a NPP Thank you Secretary of State hillary clinton , for helping us resolve the feud ! =",hillary clinton,neutral
67,woohoo . just got my google wave invite . thank you toddramsey .,google wave,neutral
68,"This is bad , real bad ... micheal jackson ...",micheal jackson,negative
69,"Thank you President obama for passing healthcare reform ! with out extension to 26 , I 'd have no healthcare . heathcarereformbirthday",obama,positive
70,- 11/07/09 : xbox 360 men 's sleep shorts ? yes please . so much stuff at the tucson comic-con .,xbox,neutral
71,"My last 3 downloads were Good Charlotte , katy perry and Adele . I think I may be turning into a 13 year old girl . Got ta buy some lip gloss .",katy perry,neutral
