Tweet,Keyword,Sentiment,start,end
Turkish military offers condolences to families of airstrike victims http://t.co/OQjCeMaJ via @todayszamancom,Turkish military,positive,0,2
Gene Simmons Of Kiss On Marketing . An interview that is great ! Steve Baldwin is in there too.| http://ow.ly/5cTU9,Gene Simmons,positive,0,2
Why the IVF Creator Won the Nobel Prize in Medicine http://t.co/mMhVyKL,Nobel,neutral,6,7
@artrotter We were in Florence for part of our honeymoon in October ! :),@artrotter,positive,0,1
I uploaded a @YouTube video http://t.co/ArPZN4ry Hanging out at Adam's birthday party,Adam's,positive,9,10
"Ideas Corner/March 2n d: By Gerry Davies || March 2 , 2012 at 05 : 51 GMT Got any ideas you'd like to share with you ... http://t.co/P6xMvA7g",Gerry Davies,neutral,5,7
"Those Iranian/Chinese dissent suppressors in the UK Home Office , gearing up to blind & maim protesters more efficiently http://t.co/udSd7DhM",UK Home Office,neutral,6,9
"Lastly , a close-up of the Ziggy Zag Knit Skirt ! Love the flattering silhouette ! We'll be back with more previews ... http://t.co/WiaQQ73w",Ziggy Zag,positive,6,8
Windows 7 Perfection Netbook Edition x86 http://goo.gl/fb/0h4O7,Windows,positive,0,1
Re/Max CEO : Change with the #real estate market - http://newzfor.me/0/402c,Re/Max CEO,neutral,0,2
Confessions of an Economic Hitman : John Perkins was economic hit man for an international consulting firm that w ... http://t.co/iTpIsEF0,John Perkins,negative,6,8
new england tunershops Page 2 Subaru Impreza WRX STI Forums IWSTIcom : XX Tuning is old and now lame if they are ... http://t.co/PzYONZxf,IWSTIcom,neutral,10,11
@artrotter We were in Florence for part of our honeymoon in October ! :),@artrotter,positive,0,1
Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,New York Giants,neutral,1,4
@politico Ask Herman Cain if Clarence Thomas is his most admired black man,Herman Cain,neutral,2,4
"Sep 9 , So In Love With You Jasmine Page http://t.co/T0G88tj",Jasmine Page,positive,8,10
From @appadvice : Rumor Has It That Adobe Photoshop Touch Is Finally Coming To iOS This Monday -- AppAdvice http://t.co/maPt6Om8,Adobe Photoshop,positive,7,9
